"publisher_name","broken_package_count","broken_resource_count","publisher_title"
"middlesbrough-primary-care-trust","1","5","Middlesbrough Primary Care Trust"
"ministry-of-defence","18","21","Ministry of Defence"
"ministry-of-justice","86","366","Ministry of Justice"
"monmouthshire-county-council","9","27","Monmouthshire County Council"
"museum-of-science-and-industry","2","2","Museum of Science and Industry"
"nhs-airedale-wharfedale-and-craven-ccg","1","1","NHS Airedale, Wharfedale and Craven CCG"
"nhs-ashton-leigh-and-wigan","1","36","NHS Ashton, Leigh and Wigan"
"nhs-aylesbury-vale-ccg","1","1","NHS Aylesbury Vale CCG"
"nhs-bassetlaw","2","31","NHS Bassetlaw"
"nhs-bassetlaw-ccg","6","6","NHS Bassetlaw CCG"
"nhs-bath-north-east-somerset-pct","1","4","NHS Bath & North East Somerset PCT"
"nhs-bedfordshire","3","19","NHS Bedfordshire"
"nhs-berkshire-east","1","19","NHS Berkshire East"
"nhs-bolton","1","10","NHS Bolton"
"nhs-bournemouth-poole","1","36","NHS Bournemouth & Poole"
"nhs-brighton-and-hove-ccg","1","1","NHS Brighton and Hove CCG"
"nhs-central-lancashire","1","35","NHS Central Lancashire"
"nhs-central-manchester-ccg","1","1","NHS Central Manchester CCG"
"nhs-choices","2","4","NHS Choices"
"nhs-chorley-and-south-ribble-ccg","1","9","NHS Chorley and South Ribble CCG"
"nhs-connecting-for-health","4","18","NHS Connecting for Health"
"nhs-cornwall-and-isles-of-scilly","1","12","NHS Cornwall and Isles of Scilly"
"nhs-coventry","1","3","NHS Coventry"
"nhs-derby-city","1","35","NHS Derby City"
"nhs-derbyshire-county","1","16","NHS Derbyshire County"
"nhs-devon","1","34","NHS Devon"
"nhs-dorset","1","1","NHS Dorset"
"nhs-east-lancashire","1","32","NHS East Lancashire"
"nhs-east-riding-of-yorkshire","1","26","NHS East Riding of Yorkshire"
"nhs-east-of-england-strategic-health-authority","5","28","NHS East of England Strategic Health Authority"
"nhs-eastern-and-coastal-kent","1","9","NHS Eastern and Coastal Kent"
"nhs-gloucestershire","1","7","NHS Gloucestershire"
"nhs-great-yarmouth-and-waveney","1","29","NHS Great Yarmouth and Waveney"
"nhs-greater-preston-ccg","1","1","NHS Greater Preston CCG"
"nhs-hampshire","1","18","NHS Hampshire"
"nhs-hertfordshire","2","10","NHS Hertfordshire"
"nhs-information-centre-for-health-and-social-care","60","173","NHS Information Centre for Health and Social Care"
"nhs-institute-for-innovation-and-improvement","1","4","NHS Institute for Innovation and Improvement"
"nhs-islington","1","2","NHS Islington"
"nhs-kent-and-medway","23","23","NHS Kent and Medway"
"nhs-knowsley","28","37","NHS Knowsley"
"nhs-leeds","23","33","NHS Leeds"
"nhs-litigation-authority","5","9","NHS Litigation Authority"
"nhs-north-east-essex","1","1","NHS North East Essex"
"nhs-nottingham-city","7","11","NHS Nottingham City"
"nhs-oldham-ccg","1","5","NHS Oldham CCG"
"nhs-rotherham-ccg","9","9","NHS Rotherham CCG"
"nhs-salford-ccg","1","1","NHS Salford CCG"
"nhs-scotland","2","2","NHS Scotland"
"nhs-sefton","1","35","NHS Sefton"
"nhs-solihull-ccg","1","1","NHS Solihull CCG"
"nhs-south-east-coast","1","35","NHS South East Coast"
"nhs-south-west","20","29","NHS South West"
"nhs-stockport-ccg","1","9","NHS Stockport CCG"
"nhs-stoke-on-trent","25","25","NHS Stoke on Trent"
"nhs-surrey","1","24","NHS Surrey"
"nhs-tameside-glossop","1","31","NHS Tameside & Glossop"
"nhs-walsall","1","36","NHS Walsall"
"nhs-warwickshire","1","1","NHS Warwickshire"
"nhs-western-cheshire","1","36","NHS Western Cheshire"
"nhs-wiltshire","19","28","NHS Wiltshire"
"nhs-wolverhampton-ccg","2","2","NHS Wolverhampton CCG"
"nhs-yorkshire-and-the-humber","1","26","NHS Yorkshire and the Humber"
"national-college-for-leadership-of-schools-and-childrens-services","1","3","National College for Leadership of Schools and Children's Services"
"national-health-service","645","3022","National Health Service"
"national-heritage-memorial-fund","1","1","National Heritage Memorial Fund"
"national-institute-for-health-and-clinical-excellence","1","6","National Institute for Health and Clinical Excellence"
"national-lottery-commission","1","2","National Lottery Commission"
"national-maritime-museum","1","45","National Maritime Museum"
"national-museum-of-science-and-industry","1","1","National Museum of Science and Industry"
"national-museums-liverpool","1","2","National Museums Liverpool"
"national-offender-management-service","4","30","National Offender Management Service"
"national-records-of-scotland","24","63","National Records of Scotland"
"national-savings-and-investments","1","1","National Savings and Investments"
"national-school-of-government","2","16","National School of Government"
"national-treatment-agency-for-substance-misuse","1","1","National Treatment Agency for Substance Misuse"
"natural-england","8","8","Natural England"
"natural-environment-research-council","79","91","Natural Environment Research Council"
"natural-history-museum","2","2","Natural History Museum"
"newark-and-sherwood-district-council","1","2","Newark and Sherwood District Council"
"newcastle-primary-care-trust","3","27","Newcastle Primary Care Trust"
"newham-primary-care-trust","1","6","Newham Primary Care Trust"
"newquay-town-council","1","1","Newquay Town Council"
"norfolk-county-council","19","76","Norfolk County Council"
"norfolk-and-waveney-mental-health-nhs-foundation-trust","1","1","Norfolk and Waveney Mental Health NHS Foundation Trust"
"north-bristol-nhs-trust","3","3","North Bristol NHS Trust"
"north-cumbria-university-hospitals-nhs-trust","1","3","North Cumbria University Hospitals NHS Trust"
"north-east-lincolnshire-care-trust-plus","1","36","North East Lincolnshire Care Trust Plus"
"north-east-strategic-health-authority","1","35","North East Strategic Health Authority"
"north-hertfordshire-district-council","1","1","North Hertfordshire District Council"
"north-norfolk-district-council","30","117","North Norfolk District Council"
"north-somerset-council","1","4","North Somerset Council"
"north-staffordshire-combined-healthcare-nhs-trust","1","5","North Staffordshire Combined Healthcare NHS Trust"
"north-tyneside-primary-care-trust","3","31","North Tyneside Primary Care Trust"
"north-yorkshire-county-council","1","1","North Yorkshire County Council"
"north-yorkshire-and-york-primary-care-trust","1","5","North Yorkshire and York Primary Care Trust"
"northern-devon-healthcare-nhs-trust","7","15","Northern Devon Healthcare NHS Trust"
"northern-ireland-executive","329","521","Northern Ireland Executive"
"northern-ireland-office","3","11","Northern Ireland Office"
"northern-ireland-spatial-data-infrastructure","275","425","Northern Ireland Spatial Data Infrastructure"
"northern-ireland-statistics-and-research-agency","4","7","Northern Ireland Statistics and Research Agency"
"northumberland-care-trust","3","31","Northumberland Care Trust"
"nottingham-university-hospitals-nhs-trust","1","1","Nottingham University Hospitals NHS Trust"
"nottinghamshire-healthcare-nhs-trust","1","1","Nottinghamshire Healthcare NHS Trust"
"office-for-budget-responsibility","1","1","Office for Budget Responsibility"
"office-for-national-statistics","207","999","Office for National Statistics"
"office-of-fair-trading","5","9","Office of Fair Trading"
"office-of-gas-and-electricity-markets","1","2","Office of Gas and Electricity Markets"
"office-of-the-childrens-commissioner","1","3","Office of the Children's Commissioner"
"office-of-the-prime-minister","2","2","Office of the Prime Minister"
"oldham-primary-care-trust","1","37","Oldham Primary Care Trust"
"olympic-delivery-authority","4","4","Olympic Delivery Authority"
"one-north-east","15","15","One North East"
"ordnance-survey","18","22","Ordnance Survey"
"oxfordshire-learning-disability-nhs-trust","4","5","Oxfordshire Learning Disability NHS Trust"
"parole-board","1","4","Parole Board"
"partnerships-for-schools","1","4","Partnerships for Schools"
"passenger-focus","5","12","Passenger Focus"
"pembrokeshire-coast-national-park-authority","1","1","Pembrokeshire Coast National Park Authority"
"planning-inspectorate","3","36","Planning Inspectorate"
"portsmouth-city-primary-care-trust","1","35","Portsmouth City Primary Care Trust"
"postal-services-commission","2","4","Postal Services Commission"
"previous-defra-organizations","6","7","Previous DEFRA organizations"
"previous-nhs-institutions","34","163","Previous NHS Institutions"
"qualifications-and-curriculum-development-agency","1","3","Qualifications and Curriculum Development Agency"
"queen-elizabeth-ii-conference-centre","1","4","Queen Elizabeth II Conference Centre"
