"","dataset","header"
"4218",405,"dew point (deg C)"
"4219",405,"sea temperature (deg C)"
"4220",405,"humidity (%)"
"4221",405,"wind direction"
"4222",405,"wind speed (knots)"
"4223",405,"visibility (nautical miles)"
"4224",405,"air pressure (hPa)"
"4225",405,"wave height (metres)"
"4226",405,"wave period (seconds)"
"4227",406,"station"
"4228",406,"date"
"4229",406,"time (UTC)"
"4230",406,"weather"
"4231",406,"air temperature (degC)"
"4232",406,"dew point (deg C)"
"4233",406,"sea temperature (deg C)"
"4234",406,"humidity (%)"
"4235",406,"wind direction"
"4236",406,"wind speed (knots)"
"4237",406,"visibility (nautical miles)"
"4238",406,"air pressure (hPa)"
"4239",406,"wave height (metres)"
"4240",406,"wave period (seconds)"
"4241",407,"station"
"4242",407,"date"
"4243",407,"time (UTC)"
"4244",407,"weather"
"4245",407,"air temperature (degC)"
"4246",407,"dew point (deg C)"
"4247",407,"sea temperature (deg C)"
"4248",407,"humidity (%)"
"4249",407,"wind direction"
"4250",407,"wind speed (knots)"
"4251",407,"visibility (nautical miles)"
"4252",407,"air pressure (hPa)"
"4253",407,"wave height (metres)"
"4254",407,"wave period (seconds)"
"4255",408,"station"
"4256",408,"date"
"4257",408,"time (UTC)"
"4258",408,"weather"
"4259",408,"air temperature (degC)"
"4260",408,"dew point (deg C)"
"4261",408,"sea temperature (deg C)"
"4262",408,"humidity (%)"
"4263",408,"wind direction"
"4264",408,"wind speed (knots)"
"4265",408,"visibility (nautical miles)"
"4266",408,"air pressure (hPa)"
"4267",408,"wave height (metres)"
"4268",408,"wave period (seconds)"
"4269",409,"station"
"4270",409,"date"
"4271",409,"time (UTC)"
"4272",409,"weather"
"4273",409,"air temperature (degC)"
"4274",409,"dew point (deg C)"
"4275",409,"sea temperature (deg C)"
"4276",409,"humidity (%)"
"4277",409,"wind direction"
"4278",409,"wind speed (knots)"
"4279",409,"visibility (nautical miles)"
"4280",409,"air pressure (hPa)"
"4281",409,"wave height (metres)"
"4282",409,"wave period (seconds)"
"4283",410,"station"
"4284",410,"date"
"4285",410,"time (UTC)"
"4286",410,"weather"
"4287",410,"air temperature (degC)"
"4288",410,"dew point (deg C)"
"4289",410,"sea temperature (deg C)"
"4290",410,"humidity (%)"
"4291",410,"wind direction"
"4292",410,"wind speed (knots)"
"4293",410,"visibility (nautical miles)"
"4294",410,"air pressure (hPa)"
"4295",410,"wave height (metres)"
"4296",410,"wave period (seconds)"
"4297",411,"station"
"4298",411,"date"
"4299",411,"time (UTC)"
"4300",411,"weather"
"4301",411,"air temperature (degC)"
"4302",411,"dew point (deg C)"
"4303",411,"sea temperature (deg C)"
"4304",411,"humidity (%)"
"4305",411,"wind direction"
"4306",411,"wind speed (knots)"
"4307",411,"visibility (nautical miles)"
"4308",411,"air pressure (hPa)"
"4309",411,"wave height (metres)"
"4310",411,"wave period (seconds)"
"4311",412,"station"
"4312",412,"date"
"4313",412,"time (UTC)"
"4314",412,"weather"
"4315",412,"air temperature (degC)"
"4316",412,"dew point (deg C)"
"4317",412,"sea temperature (deg C)"
"4318",412,"humidity (%)"
"4319",412,"wind direction"
"4320",412,"wind speed (knots)"
"4321",412,"visibility (nautical miles)"
"4322",412,"air pressure (hPa)"
"4323",412,"wave height (metres)"
"4324",412,"wave period (seconds)"
"4325",413,"{B7E61A71-51F1-4D2E-993A-00025D099EFD}"
"4326",413,"214950"
"4327",413,"2013-11-08 00:00"
"4328",413,"RG12 7WH"
"4329",413,"T"
"4330",413,"N"
"4331",413,"F"
"4332",413,"97"
"4333",413,"V9"
"4334",413,"GREENHAM WOOD"
"4335",413,"V11"
"4336",413,"BRACKNELL"
"4337",413,"BRACKNELL FOREST"
"4338",413,"BRACKNELL FOREST"
"4339",413,"A"
"4340",414,"{0C7ADEF5-878D-4066-B785-0000003ED74A}"
"4341",414,"163000"
"4342",414,"2003-02-21 00:00"
"4343",414,"UB5 4PJ"
"4344",414,"T"
"4345",414,"N"
"4346",414,"F"
"4347",414,"106"
"4348",414,"V9"
"4349",414,"READING ROAD"
"4350",414,"NORTHOLT"
"4351",414,"NORTHOLT"
"4352",414,"EALING"
"4353",414,"GREATER LONDON"
"4354",414,"A"
"4355",415,"{51F797CA-7BEB-4958-821F-000003E464AE}"
"4356",415,"110000"
"4357",415,"2013-03-22 00:00"
"4358",415,"NR35 2SF"
"4359",415,"T"
"4360",415,"N"
"4361",415,"F"
"4362",415,"5"
"4363",415,"V9"
"4364",415,"WILD FLOWER WAY"
"4365",415,"DITCHINGHAM"
"4366",415,"BUNGAY"
"4367",415,"SOUTH NORFOLK"
"4368",415,"NORFOLK"
"4369",415,"A"
"4370",416,"{1FB4E294-102B-475C-876A-000005E78B1E}"
"4371",416,"177000"
"4372",416,"2012-05-29 00:00"
"4373",416,"BS4 5AW"
"4374",416,"S"
"4375",416,"N"
"4376",416,"F"
"4377",416,"11"
"4378",416,"V9"
"4379",416,"WATER LANE"
"4380",416,"BRISLINGTON"
"4381",416,"BRISTOL"
"4382",416,"CITY OF BRISTOL"
"4383",416,"CITY OF BRISTOL"
"4384",416,"A"
"4385",417,"{0BF3009D-6D21-430F-B33F-00002811CFBE}"
"4386",417,"250000"
"4387",417,"2011-07-18 00:00"
"4388",417,"NR4 6HF"
"4389",417,"T"
"4390",417,"N"
"4391",417,"F"
"4392",417,"80"
"4393",417,"V9"
"4394",417,"GREENWAYS"
"4395",417,"V11"
"4396",417,"NORWICH"
"4397",417,"NORWICH"
"4398",417,"NORFOLK"
"4399",417,"A"
"4400",418,"{B20B1C74-E8E1-4137-AB3E-0000011DF342}"
"4401",418,"320000"
"4402",418,"2010-09-10 00:00"
"4403",418,"W4 1DZ"
"4404",418,"F"
"4405",418,"N"
"4406",418,"L"
"4407",418,"58"
"4408",418,"V9"
"4409",418,"WHELLOCK ROAD"
"4410",418,"V11"
"4411",418,"LONDON"
"4412",418,"EALING"
"4413",418,"GREATER LONDON"
"4414",418,"A"
"4415",419,"{84D77B53-1A2E-4520-B0BD-00000F2552CC}"
"4416",419,"87000"
"4417",419,"2009-01-09 00:00"
"4418",419,"CF31 2NA"
"4419",419,"S"
"4420",419,"N"
"4421",419,"F"
"4422",419,"8"
"4423",419,"V9"
"4424",419,"EASTERLY CLOSE"
"4425",419,"BRACKLA"
"4426",419,"BRIDGEND"
"4427",419,"BRIDGEND"
"4428",419,"BRIDGEND"
"4429",419,"A"
"4430",420,"{EB60714F-2FB9-4E70-AAE9-00003C83B411}"
"4431",420,"184000"
"4432",420,"2008-05-02 00:00"
"4433",420,"BS4 3RF"
"4434",420,"T"
"4435",420,"N"
"4436",420,"F"
"4437",420,"16"
"4438",420,"V9"
"4439",420,"CONWAY ROAD"
"4440",420,"BRISLINGTON"
"4441",420,"BRISTOL"
"4442",420,"CITY OF BRISTOL"
"4443",420,"CITY OF BRISTOL"
"4444",420,"A"
"4445",421,"{2F2D232A-FC69-4A94-968B-00001D96A542}"
"4446",421,"187000"
"4447",421,"2007-12-17 00:00"
"4448",421,"SM1 4LZ"
"4449",421,"F"
"4450",421,"N"
"4451",421,"L"
"4452",421,"44"
"4453",421,"FLAT 3"
"4454",421,"CARSHALTON GROVE"
"4455",421,"SUTTON"
"4456",421,"SUTTON"
"4457",421,"SUTTON"
"4458",421,"GREATER LONDON"
"4459",421,"A"
"4460",422,"{80B27D55-4D3D-4070-A2F0-00002CD1A302}"
"4461",422,"213000"
"4462",422,"2006-04-04 00:00"
"4463",422,"CV35 9NQ"
"4464",422,"D"
"4465",422,"N"
"4466",422,"F"
"4467",422,"11"
"4468",422,"V9"
"4469",422,"WHITWORTH CLOSE"
"4470",422,"WELLESBOURNE"
"4471",422,"WARWICK"
"4472",422,"STRATFORD-ON-AVON"
"4473",422,"WARWICKSHIRE"
"4474",422,"A"
"4475",423,"{35F67271-ABD4-40DA-AB09-00000085B9D3}"
"4476",423,"247500"
"4477",423,"2005-07-15 00:00"
"4478",423,"TA19 9DD"
"4479",423,"D"
"4480",423,"N"
"4481",423,"F"
"4482",423,"58"
"4483",423,"V9"
"4484",423,"ADAMS MEADOW"
"4485",423,"ILMINSTER"
"4486",423,"ILMINSTER"
"4487",423,"SOUTH SOMERSET"
"4488",423,"SOMERSET"
"4489",423,"A"
"4490",424,"{A92CDAF2-A80D-48E3-83D6-00001C6BDF4D}"
"4491",424,"375000"
"4492",424,"2004-03-31 00:00"
"4493",424,"NW6 5HU"
"4494",424,"F"
"4495",424,"N"
"4496",424,"L"
"4497",424,"REGENTS PLAZA APARTMENTS, 6"
"4498",424,"FLAT 2"
"4499",424,"GREVILLE ROAD"
"4500",424,"LONDON"
"4501",424,"LONDON"
"4502",424,"CAMDEN"
"4503",424,"GREATER LONDON"
"4504",424,"A"
"4505",425,"{0C7ADEF5-878D-4066-B785-0000003ED74A}"
"4506",425,"163000"
"4507",425,"2003-02-21 00:00"
"4508",425,"UB5 4PJ"
"4509",425,"T"
"4510",425,"N"
"4511",425,"F"
"4512",425,"106"
"4513",425,"V9"
"4514",425,"READING ROAD"
"4515",425,"NORTHOLT"
"4516",425,"NORTHOLT"
"4517",425,"EALING"
"4518",425,"GREATER LONDON"
"4519",425,"A"
"4520",426,"{62E415DA-205C-4B18-A2BA-00000EEC6FD7}"
"4521",426,"91000"
"4522",426,"2002-01-18 00:00"
"4523",426,"RM14 1RQ"
"4524",426,"F"
"4525",426,"N"
"4526",426,"L"
"4527",426,"147A"
"4528",426,"V9"
"4529",426,"AVON ROAD"
"4530",426,"UPMINSTER"
"4531",426,"UPMINSTER"
"4532",426,"HAVERING"
"4533",426,"GREATER LONDON"
"4534",426,"A"
"4535",427,"{E89CECE0-90BD-4A6C-934F-00002509F586}"
"4536",427,"465000"
"4537",427,"2001-12-19 00:00"
"4538",427,"SN11 9HY"
"4539",427,"D"
"4540",427,"N"
"4541",427,"F"
"4542",427,"BUCCABANK"
"4543",427,"V9"
"4544",427,"GOATACRE LANE"
"4545",427,"GOATACRE"
"4546",427,"CALNE"
"4547",427,"NORTH WILTSHIRE"
"4548",427,"WILTSHIRE"
"4549",427,"A"
"4550",428,"{BC2FB4EE-1745-434A-83A8-0000111222AD}"
"4551",428,"76995"
"4552",428,"2000-06-26 00:00"
"4553",428,"YO16 6GD"
"4554",428,"D"
"4555",428,"Y"
"4556",428,"F"
"4557",428,"10"
"4558",428,"V9"
"4559",428,"BADMINTON CLOSE"
"4560",428,"V11"
"4561",428,"BRIDLINGTON"
"4562",428,"EAST RIDING OF YORKSHIRE"
"4563",428,"EAST RIDING OF YORKSHIRE"
"4564",428,"A"
"4565",429,"{9F669E50-AF1E-4E8A-9A66-0000075006C7}"
"4566",429,"68000"
"4567",429,"1999-05-21 00:00"
"4568",429,"CR0 2JJ"
"4569",429,"S"
"4570",429,"N"
"4571",429,"F"
"4572",429,"83"
"4573",429,"V9"
"4574",429,"WHITEHORSE ROAD"
"4575",429,"V11"
"4576",429,"CROYDON"
"4577",429,"CROYDON"
"4578",429,"GREATER LONDON"
"4579",429,"A"
"4580",430,"{9BA20298-D7B6-4C69-83A5-000007ECE589}"
"4581",430,"43000"
"4582",430,"1998-12-21 00:00"
"4583",430,"FY8 3XD"
"4584",430,"T"
"4585",430,"N"
"4586",430,"L"
"4587",430,"27"
"4588",430,"V9"
"4589",430,"LINDEN MEWS"
"4590",430,"LYTHAM ST. ANNES"
"4591",430,"LYTHAM ST. ANNES"
"4592",430,"FYLDE"
"4593",430,"LANCASHIRE"
"4594",430,"A"
"4595",431,"{7D6B0915-C56B-4275-AF9B-00000156BCE7}"
"4596",431,"104000"
"4597",431,"1997-08-27 00:00"
"4598",431,"NE61 2BH"
"4599",431,"D"
"4600",431,"N"
"4601",431,"F"
"4602",431,"17"
"4603",431,"V9"
"4604",431,"WESTGATE"
"4605",431,"MORPETH"
"4606",431,"MORPETH"
"4607",431,"CASTLE MORPETH"
"4608",431,"NORTHUMBERLAND"
"4609",431,"A"
"4610",432,"{3540ECCE-AD95-4572-B94C-000009BAB0F9}"
"4611",432,"53000"
"4612",432,"1996-11-29 00:00"
"4613",432,"HR4 7EN"
"4614",432,"S"
"4615",432,"N"
"4616",432,"F"
"4617",432,"114"
"4618",432,"V9"
"4619",432,"ECROYD PARK"
"4620",432,"CREDENHILL"
"4621",432,"HEREFORD"
"4622",432,"SOUTH HEREFORDSHIRE"
"4623",432,"HEREFORD AND WORCESTER"
"4624",432,"A"
"4625",433,"{80AF7BD6-29DE-40F6-A93B-000027454BAA}"
"4626",433,"48500"
"4627",433,"1995-07-03 00:00"
"4628",433,"NR27 9DP"
"4629",433,"F"
"4630",433,"N"
"4631",433,"L"
"4632",433,"COLNE HOUSE"
"4633",433,"10"
"4634",433,"COLNE ROAD"
"4635",433,"CROMER"
"4636",433,"CROMER"
"4637",433,"NORTH NORFOLK"
"4638",433,"NORFOLK"
"4639",433,"A"
"4640",434,"Date"
"4641",434,"Name"
"4642",434,"Index"
"4643",435,"Date"
"4644",435,"Name"
"4645",435,"Index_SA"
"4646",436,"Date"
"4647",436,"Name"
"4648",436,"Index_SA_SM"
"4649",437,"Date"
"4650",437,"Name"
"4651",437,"Average_Price_SA"
"4652",438,"Date"
"4653",438,"Name"
"4654",438,"Average_Prices_SA_SM"
"4655",439,"Date"
"4656",439,"Name"
"4657",439,"MonthlyChange"
"4658",440,"Date"
"4659",440,"Name"
"4660",440,"AnnualChange"
"4661",441,"Date"
"4662",441,"Name"
"4663",441,"SalesVolume"
"4664",442,"LSOA CODE"
"4665",442,"PRE 2009 LA CODE"
"4666",442,"PRE 2009 LA NAME"
"4667",442,"POST 2009 LA CODE"
"4668",442,"POST 2009 LA NAME"
"4669",442,"GOR CODE"
"4670",442,"GOR NAME"
"4671",442,"IMD SCORE"
"4672",442,"RANK OF IMD SCORE (where 1 is most deprived)"
"4673",442,"INCOME SCORE"
"4674",442,"RANK OF INCOME SCORE (where 1 is most deprived)"
"4675",442,"EMPLOYMENT SCORE"
"4676",442,"RANK OF EMPLOYMENT SCORE (where 1 is most deprived)"
"4677",442,"HEALTH DEPRIVATION AND DISABILITY SCORE"
"4678",442,"RANK OF HEALTH DEPRIVATION AND DISABILITY SCORE (where 1 is most deprived)"
"4679",442,"EDUCATION SKILLS AND TRAINING SCORE"
"4680",442,"RANK OF EDUCATION SKILLS AND TRAINING SCORE (where 1 is most deprived)"
"4681",442,"BARRIERS TO HOUSING AND SERVICES SCORE"
"4682",442,"RANK OF BARRIERS TO HOUSING AND SERVICES SCORE (where 1 is most deprived)"
"4683",442,"CRIME AND DISORDER SCORE"
"4684",442,"RANK OF CRIME SCORE (where 1 is most deprived)"
"4685",442,"LIVING ENVIRONMENT SCORE"
"4686",442,"RANK OF LIVING ENVIRONMENT SCORE (where 1 is most deprived)"
"4687",442,"Indoors Sub-domain Score"
"4688",442,"Indoors Sub-domain Rank (where 1 is most deprived)"
"4689",442,"Outdoors Sub-domain Score"
"4690",442,"Outdoors Sub-domain Rank (where 1 is most deprived)"
"4691",442,"Geographical Barriers Sub-domain Score"
"4692",442,"Geographical Barriers Sub-domain Rank (where 1 is most deprived)"
"4693",442,"Wider Barriers Sub-domain Score"
"4694",442,"Wider Barriers Sub-domain Rank (where 1 is most deprived)"
"4695",442,"Children/Young People Sub-domain Score"
"4696",442,"Children/Young People Sub-domain Rank (where 1 is most deprived)"
"4697",442,"Skills Sub-domain Score"
"4698",442,"Skills Sub-domain Rank (where 1 is most deprived)"
"4699",442,"IDACI score"
"4700",442,"Rank of IDACI (where 1 is most deprived)"
"4701",442,"IDAOPI score"
"4702",442,"Rank of IDAOPI (where 1 is most deprived)"
"4703",443,"Departure_2011"
"4704",443,"Ticket_class_description"
"4705",443,"Departure"
"4706",443,"Destination"
"4707",443,"Paid_fare"
"4708",443,"Supplier_name"
"4709",443,"Directorate"
"4710",444,"Name"
"4711",444,"Spend"
"4712",445,"Name"
"4713",445,"Spend"
"4714",446,"Name"
"4715",446,"Spend"
"4716",447,"Name"
"4717",447,"Spend"
"4718",448,"Name"
"4719",448,"Spend"
"4720",449,"Measure"
"4721",449,"Type"
"4722",449,"V3"
"4723",449,"V4"
"4724",449,"V5"
"4725",449,"V6"
"4726",449,"2009-10 Full Year"
"4727",449,"2010-11 Full Year"
"4728",449,"2011 -12 Full Year"
"4729",449,"Q1 2011-12"
"4730",449,"Q2 2011-12"
"4731",449,"Q3 2011-12"
"4732",449,"Q4 2011-12"
"4733",449,"Q1 2012-13"
"4734",449,"Q2 2012-13"
"4735",449,"Q3 2012-13"
"4736",449,"Q4 2012-13"
"4737",449,"Q1 2013-14"
"4738",449,"Q2 2013-14"
"4739",449,"Q3 2013-143"
"4740",449,"Q4 2013-14"
"4741",449,"Apr-12"
"4742",449,"May-12"
"4743",449,"Jun-12"
"4744",449,"Jul-12"
"4745",449,"Aug-12"
"4746",449,"Sep-12"
"4747",449,"Oct-12"
"4748",449,"Nov-12"
"4749",449,"Dec-12"
"4750",449,"Jan-13"
"4751",449,"Feb-13"
"4752",449,"Mar-13"
"4753",449,"Apr-13"
"4754",449,"May-13"
"4755",449,"Jun-13"
"4756",449,"Jul-13"
"4757",449,"Aug-13"
"4758",449,"Sep-13"
"4759",449,"Oct-13"
"4760",449,"Nov-13"
"4761",449,"Dec-13"
"4762",449,"Jan-14"
"4763",449,"Feb-14"
"4764",449,"Mar-14"
"4765",450,"Flights"
"4766",450,"Fare Paid"
"4767",450,"Departure Date"
"4768",450,"Origin City"
"4769",450,"Destination Airport Code"
"4770",450,"Destination City"
"4771",450,"Origin Country"
"4772",450,"Destination Country"
"4773",450,"Class"
"4774",450,"Trip Type"
"4775",450,"TXN Type"
"4776",451,"Department"
"4777",451,"Department Abbreviation"
"4778",451,"Body/Agency"
"4779",451,"Agency Abbreviation"
"4780",451,"Name of service"
"4781",451,"April 2011 to March 2012: volume"
"4782",451,"April 2011 to March 2012: digital volume"
"4783",451,"April 2011 to March 2012: cost per transaction (£)"
"4784",451,"January 2012 to December 2012: volume"
"4785",451,"January 2012 to December 2012: digital volume"
"4786",451,"January 2012 to December 2012: cost per transaction (£)"
"4787",451,"April 2012 to March 2013: volume"
"4788",451,"April 2012 to March 2013: digital volume"
"4789",451,"April 2012 to March 2013: cost per transaction (£)"
"4790",451,"July 2012 to June 2013: volume"
"4791",451,"July 2012 to June 2013: digital volume"
"4792",451,"July 2012 to June 2013: cost per transaction (£)"
"4793",451,"Latest volume"
"4794",451,"Latest digital volume"
"4795",451,"Latest cost per transaction (£)"
"4796",451,"Service Type"
"4797",451,"URL"
"4798",451,"Description of service"
"4799",451,"Notes on costs"
"4800",451,"Other notes"
"4801",451,"Customer type"
"4802",451,"Business model"
"4803",452,"Posting Date"
"4804",452,"Merchant Name"
"4805",452,"Transaction Amount"
"4806",453,"Date"
"4807",453,"Supplier"
"4808",453,"Amount"
"4809",454,"Department family"
"4810",454,"Entity"
"4811",454,"Date"
"4812",454,"Supplier"
"4813",454,"Amount"
"4814",455,"Date"
"4815",455,"Supplier"
"4816",455,"Amount"
"4817",456,"Date"
"4818",456,"Supplier"
"4819",456,"Amount"
"4820",457,"Date"
"4821",457,"Supplier"
"4822",457,"Amount"
"4823",458,"Date"
"4824",458,"Supplier"
"4825",458,"Amount"
"4826",459,"Date"
"4827",459,"Supplier"
"4828",459," Amount "
"4829",460,"Date"
"4830",460,"Supplier"
"4831",460,"Amount"
"4832",461,"Date"
"4833",461,"Supplier"
"4834",461,"Amount"
"4835",462,"Date"
"4836",462,"Supplier"
"4837",462,"Amount"
"4838",463,"Date"
"4839",463,"Supplier"
"4840",463," Amount "
"4841",464,"Date"
"4842",464,"Supplier"
"4843",464,"Amount"
"4844",465,"Date"
"4845",465,"Supplier"
"4846",465,"Amount"
"4847",466,"Department Family"
"4848",466,"Entity"
"4849",466,"Date"
"4850",466,"Expense type"
"4851",466,"Expense area"
"4852",466,"Supplier"
"4853",466,"Transaction number"
"4854",466,"Amount"
"4855",467,"Date"
"4856",467,"Supplier"
"4857",467,"Amount"
"4858",468,"Date"
"4859",468,"Supplier"
"4860",468,"Amount"
"4861",469,"Date"
"4862",469,"Supplier"
"4863",469,"Amount"
"4864",470,"Date"
"4865",470,"Supplier"
"4866",470,"Amount"
"4867",471,"Date"
"4868",471,"Supplier"
"4869",471,"Amount"
"4870",472,"Row Labels"
"4871",472,"Sum of  Transaction Amount"
"4872",473,"Unique Reference Number"
"4873",473,"Post Date"
"4874",473,"Merchant Category Code"
"4875",473,"Merchant Category Group"
"4876",473,"Transaction Amount"
"4877",473,"Comment"
"4878",474,"Unique Reference Number"
"4879",474,"Post Date"
"4880",474,"Merchant Category Code"
"4881",474,"Merchant Category Group"
"4882",474,"Transaction Amount"
"4883",474,"Comment"
"4884",475,"Unique Reference Number"
"4885",475,"Post Date"
"4886",475,"Merchant Category Code"
"4887",475,"Location"
"4888",475,"Merchant Category Group"
"4889",475,"Transaction Amount"
"4890",475,"Comment"
"4891",476,"Unique Reference Number"
"4892",476,"Date"
"4893",476,"Merchant Category Code"
"4894",476,"Location"
"4895",476,"Merchant Category Group"
"4896",476,"Amount"
"4897",476,"Supplier"
"4898",476,"Comment"
"4899",477,"Unique Reference Number"
"4900",477,"Date"
"4901",477,"Merchant Category Code"
"4902",477,"Location"
"4903",477,"Merchant Category Group"
"4904",477,"Amount"
"4905",477,"Supplier"
"4906",477,"Comment"
"4907",478,"Unique Reference Number"
"4908",478,"Date"
"4909",478,"Merchant Category Code"
"4910",478,"Location"
"4911",478,"Merchant Category Group"
"4912",478,"Amount"
"4913",478,"Supplier"
"4914",479,"Unique Reference Number"
"4915",479,"Date"
"4916",479,"Merchant Category Code"
"4917",479,"Location"
"4918",479,"Merchant Category Group"
"4919",479,"Amount"
"4920",479,"Supplier"
"4921",480,"Transaction date"
"4922",480,"Merchant name"
"4923",480,"Transaction amount"
"4924",480,"Entity "
"4925",480,"Details "
"4926",481,"Transaction date"
"4927",481,"Merchant name"
"4928",481,"Transaction amount"
"4929",481,"Entity "
"4930",481,"Details "
"4931",482,"Transaction date"
"4932",482,"Merchant name"
"4933",482,"Transaction amount"
"4934",482,"Entity "
"4935",482,"Details "
"4936",483,"Transaction date"
"4937",483,"Merchant name"
"4938",483," Transaction amount "
"4939",483,"Entity "
"4940",483,"Details "
"4941",484,"Transaction date"
"4942",484,"Merchant name"
"4943",484," Amount "
"4944",484,"Entity"
"4945",484,"Details"
"4946",485,"Transaction date"
"4947",485,"Merchant Name"
"4948",485,"Amount"
"4949",485,"Entity"
"4950",485,"Details"
"4951",486,"Transaction date"
"4952",486,"Merchant Name"
"4953",486,"Amount"
"4954",486,"Details"
"4955",486,"Entity"
"4956",487,"Transaction date"
"4957",487,"Merchant Name"
"4958",487,"Amount"
"4959",487,"Details"
"4960",487,"Entity"
"4961",488,"TRANSACTION DATE"
"4962",488,"MERCHANT NAME"
"4963",488,"TRANSACTION AMOUNT"
"4964",488,"ENTITY"
"4965",488,"DETAILS"
"4966",489,"TRANSACTION DATE"
"4967",489,"MERCHANT NAME"
"4968",489,"TRANSACTION AMOUNT"
"4969",489,"ENTITY"
"4970",489,"DETAILS"
"4971",490,"TRANSACTION DATE"
"4972",490,"MERCHANT NAME"
"4973",490,"TRANSACTION AMOUNT"
"4974",490,"ENTITY"
"4975",490,"DETAILS"
"4976",491,"TRANSACTION DATE"
"4977",491,"MERCHANT NAME"
"4978",491,"TRANSACTION AMOUNT"
"4979",491,"ENTITIY"
"4980",491,"DETAILS"
"4981",492,"TRANSACTION DATE"
"4982",492,"MERCHANT NAME"
"4983",492,"TRANSACTION AMOUNT"
"4984",492,"ENTITIY"
"4985",492,"DETAILS"
"4986",493,"TRANSACTION DATE"
"4987",493,"MERCHANT NAME"
"4988",493,"TRANSACTION AMOUNT"
"4989",493,"ENTITY"
"4990",493,"DETAILS"
"4991",494,"TRANSACTION DATE"
"4992",494,"MERCHANT NAME"
"4993",494,"TRANSACTION AMOUNT"
"4994",494,"ENTITY"
"4995",494,"DETAILS"
"4996",495,"TRANSACTION DATE"
"4997",495,"MERCHANT NAME"
"4998",495,"TRANSACTION AMOUNT"
"4999",495,"ENTITY"
"5000",495,"DETAILS"
"5001",496,"TRANSACTION DATE"
"5002",496,"MERCHANT NAME"
"5003",496,"TRANSACTION AMOUNT"
"5004",496,"ENTITY"
"5005",496,"DETAILS"
"5006",497,"TRANSACTION DATE"
"5007",497,"MERCHANT NAME"
"5008",497,"TRANSACTION AMOUNT"
"5009",497,"ENTITY "
"5010",497,"DETAILS"
"5011",498,"TRANSACTION DATE"
"5012",498,"MERCHANT NAME"
"5013",498,"TRANSACTION AMOUNT"
"5014",498,"ENTITY"
"5015",498,"DETAILS"
"5016",499,"Transaction date"
"5017",499,"Merchant Name"
"5018",499,"Transaction Amount"
"5019",499,"Entity"
"5020",499,"Details "
"5021",500,"TRANSACTION DATE"
"5022",500,"MERCHANT NAME"
"5023",500,"TRANSACTION AMOUNT"
"5024",500,"ENTITY"
"5025",500,"DETAILS"
"5026",501,"TRANSACTION DATE"
"5027",501,"MERCHANT NAME"
"5028",501,"TRANSACTION AMOUNT"
"5029",501,"ENTITY"
"5030",501,"DETAILS"
"5031",502,"Transaction Date"
"5032",502,"Merchant Name"
"5033",502,"Transaction Amount"
"5034",502,"Entity"
"5035",502,"Details"
"5036",503,"Transaction Date"
"5037",503,"Merchant Name"
"5038",503,"Transaction Amount"
"5039",503,"Entity"
"5040",503,"Details "
"5041",504,"Transaction Date"
"5042",504,"Merchant Name"
"5043",504,"Transaction Amount"
"5044",504,"Entity"
"5045",504,"Details "
"5046",505,"Transaction Date"
"5047",505,"Merchant Name"
"5048",505,"Transaction Amount"
"5049",505,"Entity "
"5050",505,"Details"
"5051",506,"Transaction Date"
"5052",506,"Merchant Name"
"5053",506,"Transaction Amount"
"5054",506,"Entity"
"5055",506,"Details "
"5056",507,"Department"
"5057",507,"Entity"
"5058",507,"Date of Payment"
"5059",507,"Expense Type"
"5060",507,"Expense Area"
"5061",507,"Supplier"
"5062",507,"Transaction Number"
"5063",507,"Amount"
"5064",507,"Description"
"5065",507,"Supplier Post Code"
"5066",507,"Supplier Type"
"5067",507,"Contract Number"
"5068",507,"Project Code"
"5069",507,"Expenditure Type"
"5070",508,"Department"
"5071",508,"Entity"
"5072",508,"Date of Payment"
"5073",508,"Expense Type"
"5074",508,"Expense Area"
"5075",508,"Supplier"
"5076",508,"Transaction Number"
"5077",508,"Amount"
"5078",508,"Description"
"5079",508,"Supplier Post Code"
"5080",508,"Supplier Type"
"5081",508,"Contract Number"
"5082",508,"Project Code"
"5083",508,"Expenditure Type"
"5084",509,"Department"
"5085",509,"Entity"
"5086",509,"Date of Payment"
"5087",509,"Expense Type"
"5088",509,"Expense Area"
"5089",509,"Supplier"
"5090",509,"Transaction Number"
"5091",509,"Amount"
"5092",509,"Description"
"5093",509,"Supplier Post Code"
"5094",509,"Supplier Type"
"5095",509,"Contract Number"
"5096",509,"Project Code"
"5097",509,"Expenditure Type"
"5098",510,"Department"
"5099",510,"Entity"
"5100",510,"Date of Payment"
"5101",510,"Expense Type"
"5102",510,"Expense Area"
"5103",510,"Supplier"
"5104",510,"Transaction Number"
"5105",510,"Amount"
"5106",510,"Description"
"5107",510,"Supplier Post Code"
"5108",510,"Supplier Type"
"5109",510,"Contract Number"
"5110",510,"Project Code"
"5111",510,"Expenditure Type"
"5112",511,"Department"
"5113",511,"Entity"
"5114",511,"Date of Payment"
"5115",511,"Expense Type"
"5116",511,"Expense Area"
"5117",511,"Supplier"
"5118",511,"Transaction Number"
"5119",511,"Amount"
"5120",511,"Description"
"5121",511,"Supplier Post Code"
"5122",511,"Supplier Type"
"5123",511,"Contract Number"
"5124",511,"Project Code"
"5125",511,"Expenditure Type"
"5126",512,"Department Family"
